,June_band_1,June_band_2,June_band_3,June_band_4,June_band_5,June_band_6,June_band_7,June_band_8,June_band_9,June_band_10,June_band_11,June_band_12,June_band_13,location_name,geometry,July_band_1,July_band_2,July_band_3,July_band_4,July_band_5,July_band_6,July_band_7,July_band_8,July_band_9,July_band_10,July_band_11,July_band_12,July_band_13,August_band_1,August_band_2,August_band_3,August_band_4,August_band_5,August_band_6,August_band_7,August_band_8,August_band_9,August_band_10,August_band_11,August_band_12,August_band_13,September_band_1,September_band_2,September_band_3,September_band_4,September_band_5,September_band_6,September_band_7,September_band_8,September_band_9,September_band_10,September_band_11,September_band_12,September_band_13,October_band_1,October_band_2,October_band_3,October_band_4,October_band_5,October_band_6,October_band_7,October_band_8,October_band_9,October_band_10,October_band_11,October_band_12,October_band_13
135650,0.1399,0.1285,0.1235,0.13689999,0.1363,0.14740001,0.1619,0.1576,0.1787,0.034400001,0.0011,0.1912,0.1534,El Gazira_41,POINT (32.72791535241451 14.319034330744511),0.14300001,0.1234,0.1176,0.1259,0.1246,0.13600001,0.15009999,0.13860001,0.16140001,0.0268,0.0012,0.17919999,0.14749999,0.2798,0.27489999,0.27090001,0.28060001,0.29280001,0.32069999,0.34580001,0.3082,0.35960001,0.1046,0.0035,0.34060001,0.26769999,0.1736,0.15,0.14229999,0.13850001,0.14740001,0.1978,0.23639999,0.2122,0.2527,0.049199998,0.0145,0.1908,0.138,0.159,0.1284,0.1196,0.1119,0.1248,0.17200001,0.1982,0.1762,0.20730001,0.0508,0.0133,0.16680001,0.108
103953,0.155,0.1521,0.1604,0.19930001,0.1973,0.2145,0.2394,0.2282,0.25979999,0.035300002,0.0011,0.2633,0.20900001,El Gazira_41,POINT (32.71550622393266 14.329536155912912),0.14390001,0.1189,0.1085,0.1145,0.1119,0.1207,0.1269,0.1232,0.1391,0.0267,0.0009,0.1198,0.083700001,0.45950001,0.44190001,0.4224,0.44229999,0.43869999,0.47220001,0.48679999,0.46950001,0.50019997,0.2163,0.005,0.47060001,0.39300001,0.1707,0.1446,0.1443,0.1187,0.14040001,0.2978,0.3757,0.343,0.40720001,0.0556,0.0148,0.20190001,0.1089,0.1373,0.1025,0.090400003,0.083700001,0.1009,0.18430001,0.232,0.20280001,0.2511,0.0301,0.0031,0.14749999,0.074900001
128309,0.16410001,0.1578,0.1663,0.1973,0.2007,0.2192,0.24429999,0.22830001,0.2701,0.039299998,0.0013,0.27959999,0.21529999,El Gazira_41,POINT (32.71633967286054 14.321297655134252),0.15620001,0.14,0.138,0.1595,0.1595,0.1802,0.19930001,0.1901,0.2221,0.0347,0.0009,0.2406,0.1838,0.38319999,0.32640001,0.3452,0.3761,0.3802,0.40279999,0.4262,0.37419999,0.44139999,0.17640001,0.0047,0.41859999,0.35640001,0.1839,0.1596,0.15440001,0.151,0.1602,0.2149,0.25330001,0.2272,0.26800001,0.0587,0.020300001,0.2088,0.15,0.1481,0.1246,0.1143,0.1128,0.1111,0.1362,0.15700001,0.15090001,0.1693,0.035100002,0.0073,0.1461,0.1054
38601,0.1594,0.1609,0.17460001,0.2154,0.208,0.2279,0.25960001,0.23450001,0.27700001,0.036,0.0013,0.28470001,0.21430001,El Gazira_41,POINT (32.72041431206354 14.353255795517407),0.1516,0.1286,0.1211,0.1301,0.132,0.1534,0.17039999,0.15530001,0.1838,0.03,0.0009,0.1925,0.1477,0.47049999,0.48789999,0.48249999,0.5108,0.51310003,0.538,0.51010001,0.52740002,0.5298,0.2103,0.0064,0.49779999,0.41600001,0.1653,0.1388,0.1473,0.1144,0.15279999,0.2967,0.362,0.32640001,0.3917,0.046700001,0.0074,0.2112,0.1142,0.13860001,0.1067,0.1056,0.091799997,0.1141,0.1823,0.2172,0.2212,0.2481,0.022,0.0006,0.1707,0.088200003
69262,0.1444,0.1244,0.1184,0.13590001,0.13519999,0.1451,0.1626,0.148,0.17479999,0.0275,0.0011,0.1798,0.14120001,El Gazira_41,POINT (32.71578404024196 14.339947448105725),0.1427,0.1236,0.1181,0.12909999,0.1303,0.1433,0.1573,0.1455,0.17,0.0256,0.0009,0.1698,0.1321,0.41569999,0.39719999,0.3928,0.4192,0.41460001,0.42449999,0.44029999,0.42460001,0.4542,0.1754,0.0052,0.42019999,0.35479999,0.1743,0.1508,0.1455,0.1364,0.153,0.2272,0.269,0.2456,0.2859,0.0567,0.0148,0.1858,0.1205,0.12890001,0.1058,0.0959,0.076399997,0.1,0.1938,0.2377,0.2193,0.252,0.025800001,0.0016,0.12800001,0.0605
71391,0.1481,0.14740001,0.1534,0.185,0.1814,0.1929,0.2198,0.2098,0.234,0.031,0.0011,0.2368,0.1865,El Gazira_41,POINT (32.717543543534156 14.339404250252187),0.1429,0.1206,0.1132,0.1214,0.1205,0.13420001,0.1497,0.1367,0.15629999,0.0264,0.001,0.1608,0.1259,0.41510001,0.44670001,0.433,0.46919999,0.47420001,0.45269999,0.46160001,0.4824,0.46489999,0.18269999,0.0053,0.49219999,0.35929999,0.1735,0.1471,0.155,0.1148,0.1525,0.35069999,0.4551,0.4188,0.47909999,0.067900002,0.0156,0.2221,0.1102,0.13070001,0.1031,0.1011,0.0787,0.1065,0.175,0.2084,0.1849,0.2315,0.0253,0.0011,0.1594,0.079800002
53715,0.1534,0.1451,0.1516,0.1763,0.1856,0.2233,0.2538,0.2339,0.2823,0.0396,0.0011,0.26980001,0.1948,El Gazira_41,POINT (32.73032309376174 14.34411196498285),0.151,0.1314,0.1302,0.1464,0.1608,0.1894,0.2183,0.1909,0.23890001,0.034600001,0.001,0.24519999,0.1763,0.3935,0.36669999,0.3721,0.36590001,0.371,0.38620001,0.4039,0.4084,0.4127,0.17829999,0.0073,0.39649999,0.34130001,0.1696,0.14920001,0.1513,0.1488,0.1661,0.23710001,0.27469999,0.2536,0.30090001,0.043699998,0.0101,0.2288,0.15620001,0.1234,0.1023,0.089,0.0862,0.0889,0.1133,0.13070001,0.1136,0.1362,0.0137,0.0011,0.1081,0.0704
68393,0.15459999,0.1416,0.1451,0.1629,0.1696,0.1971,0.2221,0.208,0.24150001,0.0361,0.0011,0.24250001,0.17739999,El Gazira_41,POINT (32.73273083510897 14.340219047032495),0.1434,0.1228,0.1133,0.1246,0.1234,0.1349,0.1499,0.1402,0.16320001,0.027100001,0.001,0.1789,0.1471,0.33059999,0.32409999,0.31959999,0.33770001,0.33930001,0.36500001,0.3836,0.34810001,0.3899,0.1417,0.0078,0.3705,0.31420001,0.1662,0.1444,0.1373,0.1344,0.1426,0.19509999,0.22589999,0.2043,0.2406,0.045400001,0.01,0.19140001,0.1383,0.145,0.1073,0.096199997,0.092,0.096600004,0.132,0.1507,0.1249,0.1631,0.0409,0.0082,0.1285,0.092100002
57376,0.16329999,0.1664,0.18179999,0.2272,0.2141,0.2325,0.26069999,0.26460001,0.28569999,0.041900001,0.0013,0.30680001,0.23720001,El Gazira_41,POINT (32.69920766712067 14.343025569275774),0.15369999,0.14300001,0.14390001,0.1654,0.15790001,0.1794,0.20039999,0.2032,0.2234,0.034200002,0.001,0.2279,0.1655,0.32010001,0.38460001,0.34310001,0.34729999,0.35620001,0.37169999,0.3811,0.389,0.36989999,0.1127,0.003,0.36090001,0.26280001,0.1751,0.1541,0.1525,0.1471,0.1639,0.2288,0.26859999,0.2367,0.29069999,0.051800001,0.0145,0.2147,0.1416,0.1433,0.1285,0.1224,0.13169999,0.1311,0.148,0.1682,0.15530001,0.18430001,0.0201,0.001,0.18610001,0.1454
117953,0.1479,0.1191,0.1098,0.1225,0.1285,0.13779999,0.156,0.13429999,0.16329999,0.0325,0.0011,0.1726,0.1354,El Gazira_41,POINT (32.73273083510897 14.32473790820666),0.1454,0.1219,0.1111,0.1193,0.1178,0.1312,0.1462,0.13330001,0.15109999,0.0285,0.001,0.1578,0.12639999,0.28830001,0.25690001,0.2411,0.25279999,0.2572,0.28839999,0.31200001,0.28369999,0.327,0.1135,0.0045,0.30090001,0.2474,0.1663,0.14309999,0.13249999,0.1279,0.137,0.1895,0.2227,0.20290001,0.22939999,0.0469,0.0117,0.1646,0.1172,0.13779999,0.12540001,0.112,0.098399997,0.099,0.12620001,0.14560001,0.1543,0.1593,0.034899998,0.0071,0.1219,0.091200002
